accident_risk,flood_risk,traffic_risk,lighting_risk,road_condition,weather_condition,time_of_day,day_type,risk_score
59.4,7.3,32.0,22.9,65.2,Rain,Night,Weekday,45.3
7.5,24.7,50.4,7.1,24.9,Rain,Afternoon,Weekday,24.7
73.8,5.6,74.5,60.9,35.5,Clear,Night,Weekday,61.3
13.2,81.3,58.3,69.6,64.7,Rain,Night,Weekday,73.3
75.5,60.7,78.9,51.2,62.8,Clear,Morning,Weekday,66.4
24.8,14.1,32.2,55.9,37.4,Clear,Morning,Weekday,33.4
60.1,59.8,23.7,63.3,22.3,Clear,Night,Weekday,61.5
63.2,80.9,72.1,23.3,12.4,Clear,Morning,Weekday,58.1
79.5,33.3,62.4,36.7,78.6,Rain,Morning,Weekday,69.3
27.3,57.6,81.8,37.0,26.4,Fog,Afternoon,Weekday,42.4
14.3,61.5,73.4,38.8,14.8,Clear,Night,Weekday,45.2
78.2,6.0,67.7,59.5,50.3,Clear,Evening,Weekday,58.1
43.6,90.8,80.1,26.1,47.5,Clear,Night,Weekend,59.2
59.3,59.8,22.2,66.0,50.5,Heavy Rain,Afternoon,Weekday,76.8
6.7,88.6,80.3,71.5,33.1,Clear,Night,Weekend,63.8
46.3,11.2,70.8,66.3,19.6,Rain,Afternoon,Weekday,45.6
41.0,24.1,53.1,63.4,25.1,Clear,Night,Weekday,53.8
49.0,15.9,28.0,32.0,54.1,Clear,Morning,Weekday,37.0
24.5,86.5,78.8,10.7,27.9,Rain,Morning,Weekday,56.9
53.5,47.5,72.8,69.6,24.3,Clear,Afternoon,Weekday,49.9
67.0,65.6,88.7,12.9,40.2,Clear,Night,Weekday,55.5
43.1,43.0,32.3,25.0,79.2,Clear,Night,Weekday,44.6
89.9,80.2,87.5,79.1,73.7,Clear,Afternoon,Weekday,78.6
10.0,39.1,88.8,26.2,68.8,Rain,Afternoon,Weekend,49.0
52.2,69.7,22.4,28.7,82.7,Rain,Afternoon,Weekend,59.5
54.7,50.3,78.2,17.6,82.1,Clear,Morning,Weekday,60.8
25.0,15.8,81.2,24.7,54.6,Rain,Afternoon,Weekday,40.5
84.5,23.4,67.3,24.1,39.7,Rain,Morning,Weekday,59.6
11.2,46.2,89.9,84.7,15.5,Clear,Morning,Weekend,44.6
79.7,38.3,22.6,71.7,62.8,Rain,Night,Weekday,74.5
74.5,31.9,63.1,80.1,20.1,Clear,Morning,Weekday,53.8
56.4,69.6,26.3,55.7,29.8,Rain,Night,Weekend,71.4
41.0,29.9,10.3,66.7,57.8,Clear,Evening,Weekday,43.5
5.8,11.8,80.6,77.3,50.9,Heavy Rain,Afternoon,Weekday,41.1
31.2,85.9,73.7,73.9,77.4,Clear,Morning,Weekday,69.3
80.2,41.6,59.7,17.4,79.7,Heavy Rain,Night,Weekend,79.2
7.1,71.3,36.6,79.5,70.2,Heavy Rain,Evening,Weekday,78.5
14.2,83.5,78.7,22.8,71.2,Rain,Afternoon,Weekend,54.8
7.0,22.4,36.3,74.1,82.5,Clear,Evening,Weekday,48.2
50.6,89.5,19.2,82.6,23.4,Fog,Morning,Weekday,54.5
66.9,33.2,58.5,45.9,38.9,Rain,Morning,Weekday,57.2
83.7,53.5,67.6,64.4,60.3,Clear,Morning,Weekday,67.3
31.7,81.3,67.6,29.0,33.2,Clear,Afternoon,Weekday,45.4
40.7,89.6,64.2,77.2,56.2,Clear,Afternoon,Weekday,60.4
41.5,57.2,62.4,42.2,43.2,Clear,Afternoon,Weekend,48.6
19.4,12.6,51.2,55.6,35.1,Heavy Rain,Evening,Weekday,42.6
21.9,7.2,29.6,43.0,73.7,Clear,Afternoon,Weekday,29.7
64.2,49.5,29.5,57.5,10.4,Heavy Rain,Evening,Weekday,64.7
20.0,91.2,51.4,9.0,28.7,Heavy Rain,Afternoon,Weekend,57.8
89.0,58.6,86.0,76.3,55.9,Heavy Rain,Afternoon,Weekend,96.4
81.3,71.9,48.0,25.7,28.5,Rain,Evening,Weekday,69.5
28.3,12.0,32.9,26.7,34.0,Rain,Morning,Weekday,31.7
65.0,10.8,42.6,48.4,41.2,Clear,Afternoon,Weekend,40.3
64.1,82.1,71.2,35.4,10.4,Clear,Evening,Weekend,57.9
40.6,72.3,53.7,53.3,26.5,Clear,Afternoon,Weekday,46.4
62.7,41.4,23.2,42.4,19.6,Rain,Morning,Weekday,49.0
7.3,62.8,20.9,41.9,13.8,Clear,Morning,Weekday,30.0
